Phase=          2 , Time=                 376 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 377 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 378 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 379 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 380 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 381 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 382 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 383 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 384 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 385 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 386 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 387 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 388 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 389 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 390 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 391 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 392 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 393 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 394 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 395 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 396 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 397 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 398 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 399 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 400 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 401 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 402 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 403 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 404 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 405 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 406 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 407 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 408 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 409 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 410 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 411 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 412 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 413 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 414 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 415 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 416 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 417 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 418 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 419 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
